"","compound_1","compound_2","true_match","cosine","comp2keep","comp1_feat","comp2_feat","comp_MSMS","comp_TIC","reason"
"92","amide_406","C18_1903","Y",0.800892,"C18_1903",6,14,"both","amide_406","C18_1903 more features"
"93","amide_41","C18_1689","Y",0.926408,"amide_41",33,13,"both","C18_1689","amide_41 more features"
"94","amide_425","C18_8807","Y",0.918093,"C18_8807",6,2,"C18_8807","amide_425","C18_8807 has MSMS"
"95","amide_435","C18_2542","Y",0.956809,"C18_2542",8,19,"C18_2542","C18_2542","C18_2542 has MSMS"
"96","amide_441","C18_6700","Y",0.973318,"amide_441",6,5,"amide_441","amide_441","amide_441 has MSMS"
"97","amide_445","C18_7675","Y",0.999508,"amide_445",8,2,"both","amide_445","amide_445 more features"
"98","amide_448","C18_4692","Y",0.978275,"amide_448",6,5,"both","C18_4692","amide_448 more features"
"99","amide_477","C18_3869","Y",0.999088,"amide_477",5,3,"amide_477","amide_477","amide_477 has MSMS"
"100","amide_50","C18_1020","Y",0.916302,"C18_1020",21,56,"both","amide_50","C18_1020 more features"
"101","amide_530","C18_2785","Y",0.904977,"C18_2785",8,5,"C18_2785","amide_530","C18_2785 has MSMS"
"102","amide_540","C18_2182","Y",0.981625,"amide_540",5,15,"amide_540","C18_2182","amide_540 has MSMS"
"103","amide_55","C18_1446","Y",0.934658,"C18_1446",19,26,"both","C18_1446","C18_1446 more features"
"104","amide_562","C18_4590","Y",0.969974,"C18_4590",7,9,"C18_4590","amide_562","C18_4590 has MSMS"
"105","amide_565","C18_4172","Y",0.956507,"amide_565",5,3,"both","amide_565","amide_565 more features"
"106","amide_575","C18_3718","Y",0.818677,"amide_575",8,3,"both","amide_575","amide_575 higher signal"
"107","amide_613","C18_4422","Y",0.824255,"C18_4422",4,6,"C18_4422","amide_613","C18_4422 has MSMS"
"108","amide_618","C18_2745","Y",0.978916,"amide_618",8,10,"amide_618","amide_618","amide_618 has MSMS"
"109","amide_620","C18_3868","Y",0.919043,"amide_620",4,10,"amide_620","amide_620","amide_620 has MSMS"
"110","amide_623","C18_5704","Y",0.953597,"amide_623",4,2,"both","amide_623","amide_623 more features"
"111","amide_637","C18_2066","Y",0.905862,"amide_637",4,15,"amide_637","amide_637","amide_637 has MSMS"
"112","amide_640","C18_2223","Y",0.854485,"amide_640",4,5,"amide_640","C18_2223","amide_640 has MSMS"
"113","amide_645","C18_7537","Y",0.989786,"amide_645",4,2,"amide_645","amide_645","amide_645 has MSMS"
"114","amide_654","C18_3105","Y",0.99933,"amide_654",5,4,"amide_654","amide_654","amide_654 has MSMS"
"115","amide_677","C18_3909","Y",0.914625,"amide_677",4,11,"amide_677","C18_3909","amide_677 has MSMS"
"116","amide_687","C18_4724","Y",0.954283,"amide_687",6,2,"amide_687","amide_687","amide_687 has MSMS"
"117","amide_7","C18_20","Y",0.964799,"amide_7",28,57,"amide_7","C18_20","amide_7 has MSMS"
